118576,Apple,20.0,12000
128576,Mango,20.0,12000
128577,Water Melon,60.0,12000
128578,Banana,15.0,15000
128579,Orange,25.0,11000
128580,Grapes,45.0,8000
128581,Pineapple,50.0,6000
128582,Strawberry,80.0,5000
128583,Papaya,30.0,9000
128584,Guava,18.0,10000
128585,Pomegranate,70.0,7000
128586,Kiwi,90.0,4000
128587,Dragon Fruit,120.0,3000
128588,Lychee,60.0,6500
128589,Peach,55.0,7500
128591,Cherry,100.0,4500
128592,Blueberry,150.0,3500
128593,Blackberry,140.0,3800
128594,Raspberry,130.0,4200
128595,Coconut,35.0,9500
128596,Avocado,85.0,5500
128597,Lemon,22.0,11500
128598,Lime,20.0,12500
128599,Grapefruit,38.0,8800
